Rank,Team,Games Played,AST,TO,Ratio
1,Gonzaga,35,691,334,2.07
2,Iowa,33,605,323,1.87
3,Duke,36,609,334,1.82
4,UC San Diego,35,550,305,1.80
5,Auburn,35,571,324,1.76
6,Texas Tech,35,583,341,1.71
7,Liberty,35,588,354,1.66
8,Chattanooga,35,594,360,1.65
9,Yale,30,492,302,1.63
10,UAB,36,581,357,1.63
11,Utah St.,34,583,364,1.60
12,Cornell,29,554,347,1.60
13,Columbia,27,470,295,1.59
14,Ole Miss,35,497,316,1.57
15,Kentucky,35,597,380,1.57
16,Saint Mary's (CA),35,529,338,1.57
17,UConn,35,606,389,1.56
18,Lipscomb,35,530,341,1.55
19,South Alabama,32,461,297,1.55
20,UCLA,34,555,359,1.55
21,Davidson,33,491,318,1.54
22,Belmont,33,568,371,1.53
-,Xavier,34,568,371,1.53
24,Furman,35,593,391,1.52
25,Wisconsin,37,537,356,1.51
26,Purdue,35,554,368,1.51
27,Akron,35,621,414,1.50
28,Kansas,34,602,402,1.50
29,Nevada,33,497,335,1.48
30,Florida,36,571,386,1.48
31,Northern Ariz.,34,505,343,1.47
32,Marquette,34,467,318,1.47
33,Tennessee,36,557,380,1.47
34,Santa Clara,34,589,403,1.46
35,Michigan St.,35,586,401,1.46
36,Dayton,34,518,355,1.46
37,Northwestern,33,480,329,1.46
38,North Florida,32,521,358,1.46
39,Virginia,32,470,323,1.46
40,Princeton,30,455,313,1.45
41,North Dakota St.,32,480,332,1.45
42,St. John's (NY),36,565,392,1.44
43,Pepperdine,35,555,386,1.44
44,Colorado St.,36,594,414,1.43
45,Maine,34,504,352,1.43
46,Northern Colo.,35,552,386,1.43
47,Maryland,35,504,353,1.43
48,BYU,35,602,423,1.42
49,Purdue Fort Wayne,32,434,306,1.42
50,Arizona,36,588,415,1.42
51,Mississippi St.,34,517,365,1.42
52,Toledo,33,438,310,1.41
53,Minnesota,32,488,346,1.41
54,Army West Point,33,466,331,1.41
55,Fla. Atlantic,34,548,390,1.41
56,Utah,32,561,401,1.40
57,Creighton,36,615,440,1.40
58,UNCW,35,538,385,1.40
59,Col. of Charleston,33,525,377,1.39
60,Tulane,33,490,355,1.38
61,North Carolina,37,547,397,1.38
62,Illinois St.,34,493,358,1.38
63,Indiana,32,509,371,1.37
64,Dartmouth,28,441,322,1.37
65,Wofford,35,524,383,1.37
66,Vanderbilt,33,459,336,1.37
67,Arkansas St.,36,513,376,1.36
68,North Ala.,35,422,310,1.36
69,Clemson,34,484,358,1.35
70,Sacred Heart,33,547,406,1.35
71,Pittsburgh,32,429,319,1.34
72,UNC Asheville,32,449,334,1.34
73,Lafayette,33,486,362,1.34
74,FGCU,33,465,347,1.34
75,Cincinnati,33,452,338,1.34
76,Alabama,35,595,445,1.34
77,NC State,31,394,295,1.34
78,Miami (OH),34,550,412,1.33
79,Oregon St.,32,467,350,1.33
80,Baylor,35,504,378,1.33
81,VCU,35,524,394,1.33
82,SMU,35,555,418,1.33
83,Montana St.,33,435,328,1.33
84,IU Indy,32,436,329,1.33
85,Houston,36,437,330,1.32
86,Eastern Ky.,32,417,315,1.32
87,Stanford,35,483,366,1.32
88,UNI,33,459,348,1.32
89,Loyola Chicago,35,553,420,1.32
90,Merrimack,33,391,297,1.32
91,UNC Greensboro,32,416,316,1.32
92,Tennessee Tech,32,486,372,1.31
93,New Mexico,35,521,400,1.30
94,William & Mary,32,529,407,1.30
95,Texas,35,452,348,1.30
96,South Fla.,32,460,355,1.30
97,Ohio,32,450,348,1.29
98,Penn St.,31,496,384,1.29
99,Saint Joseph's,35,510,395,1.29
100,McNeese,35,489,379,1.29
101,UMBC,32,469,364,1.29
102,Boise St.,34,487,379,1.28
103,West Virginia,32,442,344,1.28
104,Campbell,32,430,335,1.28
105,Manhattan,31,462,360,1.28
106,UTRGV,31,534,417,1.28
107,Utah Valley,34,531,415,1.28
108,Alabama St.,36,418,327,1.28
109,DePaul,33,518,407,1.27
-,Southeast Mo. St.,33,448,352,1.27
111,Austin Peay,33,416,327,1.27
112,Illinois,35,520,409,1.27
113,LMU (CA),32,423,333,1.27
114,UIC,31,476,375,1.27
115,Samford,33,543,428,1.27
116,Oregon,35,501,395,1.27
117,Brown,27,398,314,1.27
118,Kansas St.,33,505,399,1.27
119,Central Conn. St.,32,456,361,1.26
120,Butler,33,461,365,1.26
121,Missouri,34,467,370,1.26
122,Marshall,33,482,382,1.26
123,Villanova,33,413,328,1.26
124,Bradley,36,522,415,1.26
-,Bryant,35,522,415,1.26
126,Colgate,33,467,372,1.26
127,Wright St.,33,502,401,1.25
128,High Point,35,454,363,1.25
129,Southern California,33,510,408,1.25
130,Lehigh,30,401,321,1.25
131,Iowa St.,35,524,420,1.25
132,A&M-Corpus Christi,34,509,408,1.25
133,Montana,35,474,380,1.25
134,Robert Morris,35,562,451,1.25
135,UC Irvine,36,566,456,1.24
136,Idaho St.,30,398,321,1.24
137,Arkansas,35,500,404,1.24
138,Penn,27,371,300,1.24
139,Valparaiso,34,409,331,1.24
140,Navy,34,452,367,1.23
141,Charlotte,33,405,329,1.23
142,Louisville,35,486,395,1.23
143,Presbyterian,33,429,349,1.23
144,UMass Lowell,32,492,401,1.23
145,Omaha,35,465,379,1.23
146,Georgetown,32,458,374,1.22
147,Drake,35,474,388,1.22
148,UC Santa Barbara,34,508,416,1.22
149,Fairfield,32,404,331,1.22
150,East Carolina,33,438,359,1.22
151,Georgia Tech,34,504,414,1.22
152,Portland,32,496,408,1.22
153,Nebraska,31,427,352,1.21
154,Ohio St.,32,422,349,1.21
155,Louisiana Tech,32,485,402,1.21
156,South Dakota,33,382,317,1.21
157,Hofstra,33,447,371,1.20
158,Lamar University,33,495,413,1.20
159,Delaware,36,510,426,1.20
160,ETSU,32,415,347,1.20
161,Tulsa,33,450,377,1.19
162,CSUN,33,539,452,1.19
163,SIUE,34,462,388,1.19
164,N.C. Central,33,520,437,1.19
165,San Diego St.,31,404,340,1.19
166,San Francisco,35,486,410,1.19
167,Cleveland St.,34,476,402,1.18
168,Rutgers,32,413,349,1.18
169,Bellarmine,31,439,371,1.18
170,Texas St.,32,465,393,1.18
171,UC Riverside,34,449,380,1.18
172,Saint Louis,34,509,432,1.18
173,Miami (FL),31,399,339,1.18
174,Northern Ky.,33,467,397,1.18
175,Marist,30,420,358,1.17
176,South Dakota St.,32,451,386,1.17
177,App State,31,389,335,1.16
178,FDU,33,449,387,1.16
179,UAlbany,33,414,357,1.16
180,UTSA,31,393,339,1.16
181,Jacksonville St.,36,422,365,1.16
182,Michigan,36,580,502,1.16
183,Washington St.,33,557,483,1.15
184,Portland St.,32,468,407,1.15
185,Harvard,27,369,322,1.15
186,Loyola Maryland,31,426,372,1.15
187,Duquesne,32,442,387,1.14
188,Richmond,32,373,327,1.14
189,George Washington,33,463,407,1.14
190,Towson,33,351,309,1.14
191,American,35,441,389,1.13
192,Southern Ill.,33,467,412,1.13
193,UNLV,33,398,352,1.13
-,Western Mich.,32,398,352,1.13
195,Youngstown St.,34,469,416,1.13
196,San Jose St.,35,452,402,1.12
197,Rider,33,416,370,1.12
198,Ball St.,31,407,363,1.12
199,Indiana St.,32,502,448,1.12
200,Norfolk St.,35,484,433,1.12
201,Green Bay,32,447,401,1.11
202,Oklahoma,34,457,411,1.11
203,Central Ark.,33,453,408,1.11
204,UCF,33,464,418,1.11
205,UTEP,33,434,391,1.11
206,James Madison,32,373,337,1.11
207,Delaware St.,30,419,379,1.11
208,Central Mich.,31,420,380,1.11
209,ULM,32,413,374,1.10
210,Massachusetts,32,413,375,1.10
211,Saint Francis,34,484,440,1.10
212,Hampton,33,391,356,1.10
213,La Salle,33,388,354,1.10
214,South Carolina St.,33,514,469,1.10
215,Mercer,33,436,398,1.10
216,NIU,31,388,355,1.09
217,Middle Tenn.,34,427,391,1.09
218,Eastern Wash.,32,437,401,1.09
219,UIW,35,440,405,1.09
220,Western Ky.,32,382,352,1.09
221,Oakland,34,439,406,1.08
222,Milwaukee,32,457,423,1.08
223,North Dakota,33,405,375,1.08
224,Syracuse,33,448,415,1.08
225,Kent St.,35,440,410,1.07
226,Vermont,33,398,371,1.07
227,Rhode Island,31,430,401,1.07
228,New Mexico St.,32,373,348,1.07
229,Wagner,30,378,353,1.07
230,Quinnipiac,33,455,425,1.07
231,Washington,31,399,373,1.07
232,Drexel,33,430,402,1.07
233,Evansville,32,403,377,1.07
234,Monmouth,33,389,364,1.07
235,Longwood,32,427,400,1.07
236,Nicholls,33,373,351,1.06
237,Florida St.,32,417,393,1.06
238,Howard,32,507,478,1.06
239,Seattle U,32,386,364,1.06
240,St. Bonaventure,34,373,353,1.06
241,N.C. A&T,32,358,340,1.05
242,Grand Canyon,34,469,448,1.05
243,VMI,34,427,408,1.05
244,TCU,32,389,372,1.05
245,UT Arlington,31,436,418,1.04
246,Arizona St.,32,412,395,1.04
247,Weber St.,34,389,373,1.04
248,Murray St.,33,392,376,1.04
249,Holy Cross,32,398,382,1.04
250,Fordham,33,452,434,1.04
251,Northeastern,32,415,399,1.04
252,Memphis,35,505,486,1.04
253,Jacksonville,33,455,438,1.04
254,Idaho,33,405,390,1.04
255,Southern U.,32,415,401,1.03
256,Southern Miss.,33,476,460,1.03
257,Bucknell,33,448,433,1.03
258,Kansas City,33,407,394,1.03
259,Troy,34,473,458,1.03
260,UT Martin,33,447,433,1.03
261,Notre Dame,33,376,366,1.03
262,Niagara,31,390,380,1.03
263,North Texas,34,356,347,1.03
264,Georgia St.,33,401,391,1.03
265,Prairie View,32,390,381,1.02
266,South Carolina,32,405,396,1.02
267,Wichita St.,34,402,394,1.02
268,Sam Houston,32,412,405,1.02
269,Providence,32,413,407,1.01
270,Ga. Southern,33,450,444,1.01
271,Southeastern La.,32,378,373,1.01
272,Ark.-Pine Bluff,31,452,449,1.01
273,Rice,32,379,377,1.01
274,Utah Tech,33,418,417,1.00
275,Iona,34,492,491,1.00
276,Radford,33,374,374,1.00
-,Wake Forest,32,362,362,1.00
278,Mount St. Mary's,36,537,538,1.00
279,Siena,32,378,379,1.00
280,Sacramento St.,32,418,422,.99
281,Temple,32,347,351,.99
282,Air Force,32,428,433,.99
283,Texas Southern,32,438,444,.99
284,Winthrop,34,439,446,.98
285,Texas A&M,34,406,414,.98
286,Colorado,34,481,491,.98
287,The Citadel,30,368,376,.98
288,George Mason,36,456,466,.98
289,Elon,33,404,413,.98
290,LSU,32,409,419,.98
291,Morehead St.,32,368,377,.98
292,Little Rock,33,447,458,.98
293,Pacific,33,421,432,.97
294,Kennesaw St.,33,439,451,.97
295,Cal Poly,35,535,550,.97
296,Northwestern St.,32,407,421,.97
297,California Baptist,32,373,386,.97
298,Georgia,33,411,426,.96
299,Boston College,31,355,368,.96
300,Binghamton,32,415,431,.96
301,Eastern Mich.,32,400,416,.96
302,Coastal Carolina,32,367,382,.96
303,Stony Brook,32,361,376,.96
304,Morgan St.,32,414,432,.96
305,Louisiana,33,340,357,.95
306,Oklahoma St.,34,436,460,.95
307,Bethune-Cookman,33,423,448,.94
308,USC Upstate,32,426,453,.94
309,Virginia Tech,32,404,430,.94
310,New Orleans,31,380,408,.93
311,Houston Christian,32,348,374,.93
312,Buffalo,31,419,451,.93
313,Old Dominion,35,369,400,.92
314,Florida A&M,31,392,425,.92
315,Bowling Green,32,359,392,.92
316,Canisius,31,348,380,.92
317,Denver,32,367,405,.91
318,Stetson,32,376,415,.91
319,Wyoming,32,373,412,.91
320,Eastern Ill.,31,350,387,.90
321,LIU,33,388,430,.90
322,California,33,345,383,.90
323,Boston U.,32,381,423,.90
324,Grambling,34,387,431,.90
325,Seton Hall,32,359,400,.90
326,FIU,33,403,451,.89
327,Missouri St.,32,390,437,.89
328,Abilene Christian,32,421,476,.88
329,Jackson St.,34,415,471,.88
330,Hawaii,31,368,418,.88
331,Oral Roberts,30,306,348,.88
332,Tennessee St.,33,440,506,.87
333,UMES,31,361,416,.87
334,Western Caro.,30,362,420,.86
335,San Diego,33,376,440,.85
336,Western Ill.,31,317,373,.85
337,Charleston So.,32,367,433,.85
338,New Hampshire,32,359,424,.85
339,Alabama A&M,32,432,513,.84
340,Chicago St.,32,344,412,.83
-,Fresno St.,32,344,412,.83
342,UC Davis,32,354,424,.83
343,Detroit Mercy,32,347,416,.83
344,NJIT,31,312,375,.83
345,Southern Utah,31,371,448,.83
346,SFA,31,388,483,.80
347,CSU Bakersfield,33,334,416,.80
348,Long Beach St.,32,364,460,.79
349,Alcorn,32,329,418,.79
350,Saint Peter's,28,289,381,.76
351,Coppin St.,30,336,447,.75
352,Gardner-Webb,31,325,453,.72
353,Cal St. Fullerton,32,288,474,.61
354,Tarleton St.,32,338,562,.60
355,Mississippi Val.,31,258,501,.51
